Stock Name,Symbol,Jun-24
Hindustan Copper Limited,HINDCOPPER,2650
Hindustan Petroleum Corporation Limited,HINDPETRO,1350
Hindustan Unilever Limited,HINDUNILVR,300
Icici Bank Limited,ICICIBANK,700
ICICI Lombard General Insurance Company Ltd,ICICIGI,500
Icici Prudential Life Insurance Company Limited,ICICIPRULI,1500
Idea Cellular Limited,IDEA,40000
Idfc Limited,IDFC,5000
IDFC First Bank Ltd,IDFCFIRSTB,7500
Indian Energy Exchange Ltd,IEX,3750
Indraprastha Gas Limited,IGL,1375
The Indian Hotels Company Limited,INDHOTEL,1000
The India Cements Limited,INDIACEM,2900
Indiamart Intermesh Ltd,INDIAMART,300
Interglobe Aviation Limited,INDIGO,300
Indusind Bank Limited,INDUSINDBK,500
Indus Towers Ltd (Bharti Infratel),INDUSTOWER,3400
Infosys Limited,INFY,400
Indian Oil Corporation Limited,IOC,4875
Ipca Laboratories Limited,IPCALAB,650
Indian Railway Catering & Tourism Corporation Ltd,IRCTC,875
Itc Limited,ITC,1600
Jindal Steel & Power Limited,JINDALSTEL,625
Jk Cement Limited,JKCEMENT,125
Jsw Steel Limited,JSWSTEEL,675
Jubilant Foodworks Limited,JUBLFOOD,1250
Kotak Mahindra Bank Limited,KOTAKBANK,400
Dr. Lal Path Labs Ltd.,LALPATHLAB,300
Laurus Labs Limited,LAURUSLABS,1700
Lic Housing Finance Limited,LICHSGFIN,1000
Larsen & Toubro Limited,LT,150
LTI Mindtree Ltd,LTIM,150
L&t Technology Services Limited,LTTS,100
Lupin Limited,LUPIN,425
Mahindra & Mahindra Limited,M&M,350
Mahindra & Mahindra Financial Services Limited,M&MFIN,2000
Manappuram Finance Limited,MANAPPURAM,3000
Marico Limited,MARICO,1200
Maruti Suzuki India Limited,MARUTI,50
United Spirits Limited,MCDOWELL-N,700
Multi Commodity Exchange Of India Limited,MCX,200
Metropolis Healthcare Ltd,METROPOLIS,400
Max Financial Services Limited,MFSL,800
Mahanagar Gas Limited,MGL,400
Motherson Sumi Systems Limited,MOTHERSON,7100
Mphasis Limited,MPHASIS,275
Mrf Limited,MRF,5
Muthoot Finance Limited,MUTHOOTFIN,550
National Aluminium Company Limited,NATIONALUM,3750
Info Edge (india) Limited,NAUKRI,150
Navin Fluorine International Limited,NAVINFLUOR,150
Nestle India Limited,NESTLEIND,200
Nmdc Limited,NMDC,4500
Ntpc Limited,NTPC,1500
Oberoi Realty Limited,OBEROIRLTY,700
Oracle Financial Services Software Limited,OFSS,200
Oil & Natural Gas Corporation Limited,ONGC,1925
Page Industries Limited,PAGEIND,15
Piramal Enterprises Limited,PEL,750
Persistent Systems Limited,PERSISTENT,200
Petronet Lng Limited,PETRONET,3000
Power Finance Corporation Limited,PFC,3875
Pidilite Industries Limited,PIDILITIND,250
Pi Industries Limited,PIIND,250
Punjab National Bank,PNB,8000
Polycab India Ltd,POLYCAB,100
